region,year,r_doses,r_population,r_coverage
AFR,2000,12499504,24311467,0.51
AFR,2001,12864825,24896385,0.52
AFR,2002,13562138,25507507,0.53
AFR,2003,14639336,26142278,0.56
AFR,2004,15850614,26796304,0.59
AFR,2005,17081735,27464735,0.62
AFR,2006,18171416,28142348,0.65
AFR,2007,19168259,28822361,0.67
AFR,2008,20346509,29497385,0.69
AFR,2009,21892783,30160794,0.73
AFR,2010,21752663,30805309,0.71
AFR,2011,22557765,31425384,0.72
AFR,2012,22698715,32021335,0.71
AFR,2013,22755315,32594968,0.7
AFR,2014,23504204,33147769,0.71
AFR,2015,23692142,33683150,0.7
AFR,2016,24804525,34206079,0.73
AFR,2017,25279205,34723060,0.73
AFR,2018,25782045,35239844,0.73
AFR,2019,26303535,35760068,0.74
AFR,2020,26172282,36286234,0.72
AMR,2000,14131768,15462873,0.91
AMR,2001,14021885,15424338,0.91
AMR,2002,14137749,15385757,0.92
AMR,2003,14331554,15345490,0.93
AMR,2004,14365277,15303121,0.94
AMR,2005,14368260,15257636,0.94
AMR,2006,14317763,15207903,0.94
AMR,2007,14195463,15153764,0.94
AMR,2008,14060097,15095683,0.93
AMR,2009,14129620,15034613,0.94
AMR,2010,14017674,14972193,0.94
AMR,2011,13948875,14910398,0.94
AMR,2012,13863776,14851061,0.93
AMR,2013,13435933,14795578,0.91
AMR,2014,13328022,14744688,0.9
AMR,2015,13420331,14698899,0.91
AMR,2016,13327911,14658152,0.91
AMR,2017,12878033,14620957,0.88
AMR,2018,12873833,14585636,0.88
AMR,2019,12192840,14550970,0.84
AMR,2020,11838625,14515561,0.82
EMR,2000,9899475,13525305,0.73
EMR,2001,10195712,13659983,0.75
EMR,2002,10288438,13812375,0.74
EMR,2003,10674321,13983510,0.76
EMR,2004,11116116,14174443,0.78
EMR,2005,11164612,14389116,0.78
EMR,2006,11110296,14631636,0.76
EMR,2007,11286921,14899806,0.76
EMR,2008,11593612,15187762,0.76
EMR,2009,11842960,15487820,0.76
EMR,2010,12238214,15789991,0.78
EMR,2011,12722994,16083682,0.79
EMR,2012,12657952,16359032,0.77
EMR,2013,13018790,16607193,0.78
EMR,2014,13339845,16821497,0.79
EMR,2015,13529694,16996201,0.8
EMR,2016,13935628,17128973,0.81
EMR,2017,14114234,17225474,0.82
EMR,2018,14483333,17292412,0.84
EMR,2019,14797740,17334211,0.85
EMR,2020,14115483,17355689,0.81
EUR,2000,9347469,10061192,0.93
EUR,2001,9454685,10062231,0.94
EUR,2002,9397693,10115151,0.93
EUR,2003,9332454,10213228,0.91
EUR,2004,9719030,10347578,0.94
EUR,2005,9982721,10506371,0.95
EUR,2006,10167625,10676498,0.95
EUR,2007,10397760,10844200,0.96
EUR,2008,10537717,10996672,0.96
EUR,2009,10569050,11124193,0.95
EUR,2010,10596782,11220244,0.94
EUR,2011,10664080,11283377,0.95
EUR,2012,10834466,11319339,0.96
EUR,2013,10862497,11332880,0.96
EUR,2014,10546015,11324331,0.93
EUR,2015,10524053,11292615,0.93
EUR,2016,10387221,11236418,0.92
EUR,2017,10469224,11157203,0.94
EUR,2018,10484043,11058151,0.95
EUR,2019,10427797,10943370,0.95
EUR,2020,10211494,10816918,0.94
SEAR,2000,24020750,37262802,0.64
SEAR,2001,24385421,37359476,0.65
SEAR,2002,24154721,37430915,0.65
SEAR,2003,24936479,37465053,0.67
SEAR,2004,25890072,37451197,0.69
SEAR,2005,26108950,37370671,0.7
SEAR,2006,26233862,37205431,0.71
SEAR,2007,25853056,36956228,0.7
SEAR,2008,27417764,36633605,0.75
SEAR,2009,28312329,36252981,0.78
SEAR,2010,29260600,35840819,0.82
SEAR,2011,29726080,35428904,0.84
SEAR,2012,29642500,35046411,0.85
SEAR,2013,29826388,34715779,0.86
SEAR,2014,30025212,34448808,0.87
SEAR,2015,30171158,34249090,0.88
SEAR,2016,30270089,34109301,0.89
SEAR,2017,30472396,34006383,0.9
SEAR,2018,30636858,33919429,0.9
SEAR,2019,30801118,33838397,0.91
SEAR,2020,28832508,33755533,0.85
WPR,2000,20345243,23971862,0.85
WPR,2001,20454642,23760460,0.86
WPR,2002,20041337,23619411,0.85
WPR,2003,20496133,23552689,0.87
WPR,2004,20715902,23552610,0.88
WPR,2005,20826622,23612992,0.88
WPR,2006,21903946,23727089,0.92
WPR,2007,21955822,23879134,0.92
WPR,2008,22940791,24049059,0.95
WPR,2009,23424735,24216775,0.97
WPR,2010,23310446,24360624,0.96
WPR,2011,23664201,24462451,0.97
WPR,2012,23767992,24514009,0.97
WPR,2013,23138853,24508981,0.94
WPR,2014,23092913,24440975,0.94
WPR,2015,22828864,24304736,0.94
WPR,2016,23268967,24099977,0.97
WPR,2017,22937852,23839961,0.96
WPR,2018,22268547,23540442,0.95
WPR,2019,22113117,23213780,0.95
WPR,2020,21712814,22873213,0.95
